Resume ID,Skills,Years of Experience,Education,Certifications,Projects,Job Role
83,"Stakeholder Communication, UML, Data Analysis, Power BI, SQL, Requirement Gathering, Tableau, Excel",1,B.Tech CSE,"Microsoft Azure Fundamentals, Google Data Analytics, DevOps Foundation",Sales Dashboard,Business Analyst
84,"PyTorch, Data Preprocessing, Computer Vision, Machine Learning, Deep Learning, Python",8,B.E. Information Technology,Microsoft Azure Fundamentals,Chatbot Development,AI/ML Engineer
85,"Python, Data Structures, System Design, C++, SQL, Git, Algorithms, Java",7,B.Tech CSE,Scrum Master,REST API Development,Software Engineer
86,"SQL, Tableau, Data Analysis, Power BI, Excel, UML",4,MCA,DevOps Foundation,"Sales Dashboard, Market Research Analysis",Business Analyst
87,"iOS, Swift, Flutter, Java, UI/UX Design, React Native, Kotlin",6,MCA,"Oracle SQL Expert, Tableau Desktop Specialist, AWS Certified Solutions Architect","ToDo App, Fitness Tracker",Mobile App Developer
88,"CSS, Responsive Design, React, JavaScript, Node.js, HTML, MongoDB",5,B.Sc Computer Science,DevOps Foundation,"E-commerce Frontend, Portfolio Website",Web Developer
89,"Node.js, JavaScript, React, CSS, HTML, Responsive Design, MongoDB, Express",1,B.Sc Computer Science,"Oracle SQL Expert, AWS Certified Solutions Architect, TensorFlow Developer Certificate",E-commerce Frontend,Web Developer
90,"NLP, Deep Learning, Data Preprocessing, Machine Learning, PyTorch, Python, TensorFlow, Computer Vision",7,B.E. Information Technology,"Certified Ethical Hacker, Google Data Analytics","Object Detection System, Image Classification",AI/ML Engineer
91,"AWS, Azure, Linux, Kubernetes, Terraform, Cloud Security, Google Cloud, Docker",1,M.Tech IT,"Google Data Analytics, React Certification","Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
92,"R, Machine Learning, Pandas, Statistics, SQL, Scikit-learn",5,B.Tech CSE,"Scrum Master, Microsoft Azure Fundamentals, Certified Ethical Hacker",Sales Forecasting,Data Scientist
93,"Scikit-learn, R, SQL, Pandas, Python, Statistics, Machine Learning, Data Visualization",0,B.Tech CSE,"React Certification, DevOps Foundation","Sentiment Analysis, Sales Forecasting",Data Scientist
94,"SQL, Git, Java, System Design, Algorithms, Python, Data Structures, C++",8,MCA,"TensorFlow Developer Certificate, Microsoft Azure Fundamentals, Tableau Desktop Specialist",REST API Development,Software Engineer
95,"Python, NLP, TensorFlow, Data Preprocessing, Deep Learning, Machine Learning, PyTorch",4,B.E. Information Technology,"Oracle SQL Expert, Certified Ethical Hacker","Object Detection System, Chatbot Development",AI/ML Engineer
96,"Azure, Docker, Cloud Security, Linux, Kubernetes",4,B.E. Information Technology,Microsoft Azure Fundamentals,Serverless Architecture,Cloud Engineer
97,"Terraform, Linux, Monitoring Tools, CI/CD, AWS, Ansible, Docker",7,B.Sc Computer Science,Tableau Desktop Specialist,Infrastructure Automation,DevOps Engineer
98,"SQL, NoSQL, Oracle, Database Tuning, Backup and Recovery, MySQL, Security",3,MCA,"React Certification, Tableau Desktop Specialist",Data Backup System,Database Administrator
99,"UML, Data Analysis, Requirement Gathering, Power BI, Excel",6,M.Tech IT,React Certification,Market Research Analysis,Business Analyst
100,"Node.js, Responsive Design, CSS, MongoDB, Express, React, JavaScript, HTML",2,M.Tech IT,"Tableau Desktop Specialist, Google Data Analytics, AWS Certified Solutions Architect","Portfolio Website, E-commerce Frontend",Web Developer
101,"Security, SQL, Database Tuning, Oracle, Data Modeling",1,M.Tech IT,"Oracle SQL Expert, Microsoft Azure Fundamentals, Scrum Master",Inventory DB Design,Database Administrator
102,"Machine Learning, R, Data Visualization, Pandas, Python, SQL, Scikit-learn, Statistics",7,MCA,Certified Ethical Hacker,Sales Forecasting,Data Scientist
103,"Data Analysis, UML, Stakeholder Communication, Power BI, Tableau, SQL, Requirement Gathering, Excel",9,MCA,"Microsoft Azure Fundamentals, Certified Ethical Hacker, TensorFlow Developer Certificate","Sales Dashboard, Product Requirement Doc",Business Analyst
104,"Machine Learning, Data Preprocessing, Computer Vision, Deep Learning, Python, PyTorch",2,MCA,AWS Certified Solutions Architect,Image Classification,AI/ML Engineer
105,"Google Cloud, AWS, Docker, Terraform, Kubernetes, Azure",2,B.E. Information Technology,"Google Data Analytics, TensorFlow Developer Certificate, Oracle SQL Expert",Serverless Architecture,Cloud Engineer
106,"Requirement Gathering, UML, SQL, Excel, Power BI",10,B.Sc Computer Science,"Google Data Analytics, React Certification, Oracle SQL Expert",Product Requirement Doc,Business Analyst
107,"Machine Learning, Pandas, Statistics, Scikit-learn, Python",9,M.Tech IT,"Certified Ethical Hacker, Scrum Master, Tableau Desktop Specialist",Customer Segmentation,Data Scientist
108,"HTML, MongoDB, Express, JavaScript, Responsive Design",4,B.Sc Computer Science,TensorFlow Developer Certificate,"Blog CMS, E-commerce Frontend",Web Developer
109,"UI/UX Design, Swift, Java, React Native, iOS",1,B.Tech CSE,"Scrum Master, Microsoft Azure Fundamentals, Certified Ethical Hacker",Fitness Tracker,Mobile App Developer
110,"Data Visualization, R, SQL, Python, Pandas, Scikit-learn, Statistics",1,MCA,Scrum Master,Customer Segmentation,Data Scientist
111,"Firewalls, Cryptography, Risk Assessment, Network Security, Penetration Testing, Incident Response, Python, SIEM",9,B.E. Information Technology,"Certified Ethical Hacker, Google Data Analytics","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
112,"Linux, CI/CD, Docker, Ansible, Monitoring Tools",1,B.E. Information Technology,"Oracle SQL Expert, Tableau Desktop Specialist, Certified Ethical Hacker","Infrastructure Automation, CI/CD Pipeline Setup",DevOps Engineer
113,"Python, Cryptography, Incident Response, Risk Assessment, Firewalls",2,B.E. Information Technology,"Scrum Master, DevOps Foundation, Google Data Analytics",Security Audit,Cybersecurity Analyst
114,"SQL, Power BI, Stakeholder Communication, Tableau, Excel, UML, Requirement Gathering, Data Analysis",5,M.Tech IT,"AWS Certified Solutions Architect, Oracle SQL Expert, Microsoft Azure Fundamentals",Sales Dashboard,Business Analyst
115,"Data Modeling, MySQL, Backup and Recovery, Security, SQL, Database Tuning, Oracle, NoSQL",0,MCA,"Tableau Desktop Specialist, Microsoft Azure Fundamentals","Inventory DB Design, Data Backup System",Database Administrator
116,"Cloud Security, Terraform, Kubernetes, AWS, Azure, Docker, Google Cloud, Linux",2,B.E. Information Technology,"Google Data Analytics, React Certification","Serverless Architecture, Cloud Cost Optimization",Cloud Engineer
117,"Java, iOS, Flutter, UI/UX Design, Android",1,M.Tech IT,"Scrum Master, AWS Certified Solutions Architect, DevOps Foundation","ToDo App, Fitness Tracker",Mobile App Developer
118,"Kubernetes, Terraform, Cloud Security, Linux, Docker, Azure, AWS",2,B.Sc Computer Science,AWS Certified Solutions Architect,"Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
119,"Data Visualization, R, Pandas, Python, Scikit-learn, Machine Learning",3,MCA,"React Certification, TensorFlow Developer Certificate",Sales Forecasting,Data Scientist
120,"iOS, Kotlin, Android, Flutter, Java",9,B.Tech CSE,"TensorFlow Developer Certificate, Microsoft Azure Fundamentals","Fitness Tracker, Chat Application",Mobile App Developer
121,"Network Security, Python, Penetration Testing, Incident Response, SIEM",0,B.Tech CSE,"Certified Ethical Hacker, DevOps Foundation","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
122,"Python, Statistics, Machine Learning, Scikit-learn, Pandas, SQL, Data Visualization, R",3,M.Tech IT,"Oracle SQL Expert, Scrum Master, DevOps Foundation","Customer Segmentation, Sentiment Analysis",Data Scientist
123,"Java, iOS, React Native, Swift, Kotlin",9,B.Tech CSE,"Oracle SQL Expert, Scrum Master","Fitness Tracker, Chat Application",Mobile App Developer
124,"Data Visualization, Pandas, Machine Learning, Python, R, Statistics, SQL",5,M.Tech IT,"Google Data Analytics, React Certification, AWS Certified Solutions Architect","Customer Segmentation, Sentiment Analysis",Data Scientist
125,"React Native, Kotlin, Android, Java, Swift, iOS, Flutter",6,B.Tech CSE,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect, TensorFlow Developer Certificate","Chat Application, ToDo App",Mobile App Developer
126,"Python, Deep Learning, Machine Learning, TensorFlow, PyTorch, Data Preprocessing, Computer Vision, NLP",8,M.Tech IT,"Oracle SQL Expert, Google Data Analytics, Certified Ethical Hacker",Image Classification,AI/ML Engineer
127,"Incident Response, Penetration Testing, Risk Assessment, SIEM, Network Security, Cryptography",9,B.E. Information Technology,"Microsoft Azure Fundamentals, Scrum Master","Security Audit, Firewall Configuration",Cybersecurity Analyst
128,"PyTorch, NLP, Data Preprocessing, Machine Learning, Computer Vision, TensorFlow, Python, Deep Learning",0,M.Tech IT,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect, Scrum Master","Chatbot Development, Object Detection System",AI/ML Engineer
129,"Data Structures, SQL, Algorithms, Python, C++, Java, Git",2,B.Sc Computer Science,"Microsoft Azure Fundamentals, AWS Certified Solutions Architect","Library Management System, E-commerce Backend",Software Engineer
130,"iOS, Java, Kotlin, React Native, UI/UX Design, Flutter, Android, Swift",9,B.Tech CSE,"TensorFlow Developer Certificate, React Certification, Oracle SQL Expert",Fitness Tracker,Mobile App Developer
131,"Kubernetes, Cloud Security, Linux, Azure, Docker, AWS, Terraform",5,B.Sc Computer Science,"Certified Ethical Hacker, Scrum Master",Cloud Cost Optimization,Cloud Engineer
132,"Machine Learning, Statistics, Python, SQL, Pandas, R, Scikit-learn",6,B.Tech CSE,"DevOps Foundation, AWS Certified Solutions Architect","Sentiment Analysis, Customer Segmentation",Data Scientist
133,"Pandas, Python, Data Visualization, R, SQL",1,MCA,Tableau Desktop Specialist,Customer Segmentation,Data Scientist
134,"PyTorch, Machine Learning, Python, TensorFlow, Data Preprocessing",2,B.Tech CSE,"DevOps Foundation, Certified Ethical Hacker",Object Detection System,AI/ML Engineer
135,"Docker, Terraform, Ansible, Kubernetes, Monitoring Tools",8,MCA,"Oracle SQL Expert, React Certification",Infrastructure Automation,DevOps Engineer
136,"Algorithms, C++, Git, Java, SQL, Python",10,M.Tech IT,"TensorFlow Developer Certificate, AWS Certified Solutions Architect",E-commerce Backend,Software Engineer
137,"UML, Excel, Requirement Gathering, Tableau, Stakeholder Communication",6,MCA,React Certification,Sales Dashboard,Business Analyst
138,"Backup and Recovery, Oracle, NoSQL, SQL, Data Modeling, MySQL, Database Tuning",9,MCA,Google Data Analytics,Inventory DB Design,Database Administrator
139,"MongoDB, Express, JavaScript, CSS, Node.js, HTML, Responsive Design, React",4,M.Tech IT,"Certified Ethical Hacker, Scrum Master, Google Data Analytics",E-commerce Frontend,Web Developer
140,"Database Tuning, Data Modeling, NoSQL, Oracle, SQL, Backup and Recovery, Security, MySQL",9,M.Tech IT,"TensorFlow Developer Certificate, Scrum Master",Data Backup System,Database Administrator
141,"Python, Machine Learning, Computer Vision, Deep Learning, TensorFlow",0,B.Tech CSE,Oracle SQL Expert,"Chatbot Development, Image Classification",AI/ML Engineer
142,"SQL, Data Structures, Python, C++, Java, Git, Algorithms",4,B.Sc Computer Science,Microsoft Azure Fundamentals,"E-commerce Backend, REST API Development",Software Engineer
143,"Data Visualization, SQL, Pandas, R, Python, Scikit-learn, Machine Learning, Statistics",10,M.Tech IT,"Scrum Master, Microsoft Azure Fundamentals, Oracle SQL Expert",Customer Segmentation,Data Scientist
144,"Network Security, Risk Assessment, Incident Response, SIEM, Cryptography, Python, Penetration Testing, Firewalls",2,B.E. Information Technology,"Microsoft Azure Fundamentals, Tableau Desktop Specialist","Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
145,"Network Security, SIEM, Python, Firewalls, Cryptography",4,B.Tech CSE,React Certification,Firewall Configuration,Cybersecurity Analyst
146,"CI/CD, AWS, Kubernetes, Linux, Monitoring Tools, Ansible, Docker, Terraform",2,M.Tech IT,"Oracle SQL Expert, AWS Certified Solutions Architect",Infrastructure Automation,DevOps Engineer
147,"Git, System Design, Algorithms, Java, Python, C++, SQL, Data Structures",7,M.Tech IT,"AWS Certified Solutions Architect, Microsoft Azure Fundamentals","Library Management System, E-commerce Backend",Software Engineer
148,"Incident Response, Cryptography, Risk Assessment, Firewalls, Python",1,M.Tech IT,"Certified Ethical Hacker, Scrum Master, DevOps Foundation",Security Audit,Cybersecurity Analyst
149,"NLP, Deep Learning, TensorFlow, Computer Vision, PyTorch",3,B.Sc Computer Science,"DevOps Foundation, Oracle SQL Expert, React Certification",Chatbot Development,AI/ML Engineer
150,"Algorithms, SQL, Data Structures, C++, System Design, Python",6,B.E. Information Technology,Oracle SQL Expert,"Library Management System, REST API Development",Software Engineer
151,"NLP, Computer Vision, Python, Data Preprocessing, TensorFlow",6,B.E. Information Technology,"Google Data Analytics, TensorFlow Developer Certificate","Image Classification, Object Detection System",AI/ML Engineer
